,index,tweet_text,emotion_in_tweet_is_directed_at,label,tweet_text_cln,alt_label,class,pred_label,pred_scores
2037,2037,"At #sxsw apple has 99% marketshare, not seeing much linux.",,No emotion toward brand or product,"At apple has 99% marketshare, not seeing much linux.",NEU,1,NEU,0.8828938007354736
2038,2038,A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies,Apple,Negative emotion,A major iOS update the day before What genius project manager came up with that brilliant idea?,NEG,0,POS,0.9482070803642273
2039,2039,@mention Apple is great at turning the new into the old  #SXSW,Apple,Positive emotion,Apple is great at turning the new into the old,POS,2,POS,0.9821403622627258
2040,2040,Sweet... Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,Positive emotion,Sweet... Apple listened to us! A temp Apple Store near for iPad2 launch! {link},POS,2,POS,0.9847634434700012
2041,2041,@mention Apple pop-up store at #sxsw was 5 blocks long! #BetterThingsToDo,Apple,Negative emotion,Apple pop-up store at was 5 blocks long!,NEG,0,NEU,0.7774363160133362
2042,2042,Does the apple pop-up store still have iPads? #sxsw #sxswi,iPad,Positive emotion,Does the apple pop-up store still have iPads?,POS,2,NEU,0.5697396397590637
2043,2043,"Love the Apple pop-up store at #SXSW. So freaking smart. Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.",Apple,Positive emotion,"Love the Apple pop-up store at So freaking smart. Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.",POS,2,POS,0.9899832010269165
2044,2044,Queue at Apple Pop-Up Store at #sxsw still long!,,Negative emotion,Queue at Apple Pop-Up Store at still long!,NEG,0,NEU,0.7291174530982971
2045,2045,"At SXSW, Apple schools the marketing experts - CNET {link} #sxsw",Apple,Positive emotion,"At SXSW, Apple schools the marketing experts - CNET {link}",POS,2,POS,0.5667062997817993
2046,2046,"At SXSW, Apple schools the marketing experts {link}  #SXSW",Apple,Positive emotion,"At SXSW, Apple schools the marketing experts {link}",POS,2,POS,0.5476248860359192
2047,2047,"At SXSW, Apple schools the marketing experts {link} /via @mention #SXSW #Apple",Apple,Positive emotion,"At SXSW, Apple schools the marketing experts {link} /via",POS,2,POS,0.5278584957122803
2048,2048,"At SXSW, Apple schools the marketing experts {link} #Apple #JobsCo #SXSW",Apple,Positive emotion,"At SXSW, Apple schools the marketing experts {link}",POS,2,POS,0.5476248860359192
2049,2049,"At SXSW, Apple schools the marketing experts {link} #SXSW #essdub",,No emotion toward brand or product,"At SXSW, Apple schools the marketing experts {link}",NEU,1,POS,0.5476248860359192
2050,2050,"At SXSW, Apple schools the marketing experts | #SXSW. {link}",,No emotion toward brand or product,"At SXSW, Apple schools the marketing experts | {link}",NEU,1,POS,0.5311445593833923
2051,2051,"At SXSW, Apple schools the marketing experts: {link} via @mention #sxsw #apple #marketing",Apple,Positive emotion,"At SXSW, Apple schools the marketing experts: {link} via",POS,2,POS,0.5521790385246277
2052,2052,clever - Apple set to open popup shop in core of #SXSW action {link},Apple,Positive emotion,clever - Apple set to open popup shop in core of action {link},POS,2,POS,0.6622282266616821
2053,2053,Watched #Apple staff at the temp #sxsw store just high five entire long line and facepalmed. Ugh.,,No emotion toward brand or product,Watched staff at the temp store just high five entire long line and facepalmed. Ugh.,NEU,1,NEG,0.9798913598060608
2054,2054,@mention Apple store NYC one day? #SXSW,,No emotion toward brand or product,Apple store NYC one day?,NEU,1,NEU,0.7718788385391235
2055,2055,"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool. #SXSW",Apple,Positive emotion,"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool.",POS,2,POS,0.989531397819519
2056,2056,Well The Apple Store website says iPads will only be available at 5 PM on Friday Wonder how that will affect #SxSW,,No emotion toward brand or product,Well The Apple Store website says iPads will only be available at 5 PM on Friday Wonder how that will affect,NEU,1,NEU,0.8023971319198608
2057,2057,@mention Apple to open a pop-up store downtown Austin (6th &amp; congress) for #SXSW and the iPad 2 launch,,No emotion toward brand or product,Apple to open a pop-up store downtown Austin (6th &amp; congress) for and the iPad 2 launch,NEU,1,NEU,0.707977831363678
2058,2058,Come on #Apple! Why cant I have spell-checking without auto-correct? Must it be all or nothing? #Grrr #sxsw,Apple,Negative emotion,Come on Why cant I have spell-checking without auto-correct? Must it be all or nothing?,NEG,0,NEG,0.9086166620254517
2059,2059,Line for Apple's iPad 2 popup store is already wrapping around the block. #SXSW  {link},,Positive emotion,Line for Apple's iPad 2 popup store is already wrapping around the block. {link},POS,2,NEU,0.862153947353363
2060,2060,@mention apple's making a temp store for #SXSW 2011 for u to get an iPad 2 !! {link},iPad,Positive emotion,apple's making a temp store for 2011 for u to get an iPad 2 !! {link},POS,2,NEU,0.5136637687683105
2061,2061,New iPad Apps for #Speech Therapy and Communication Are Showcased at the #SXSW Conference {link},,No emotion toward brand or product,New iPad Apps for Therapy and Communication Are Showcased at the Conference {link},NEU,1,NEU,0.7252898216247559
2062,2062,New iPad Apps for Speech Therapy and Communication Are Showcased at #SXSW | @mention {link},,No emotion toward brand or product,New iPad Apps for Speech Therapy and Communication Are Showcased at | {link},NEU,1,NEU,0.8205735683441162
2063,2063,New iPad Apps For Speech Therapy And Communication Are Showcased At The #SXSW Conference {link} #sxswi #SXSH #SXSWh #hcsm #slp,,No emotion toward brand or product,New iPad Apps For Speech Therapy And Communication Are Showcased At The Conference {link},NEU,1,NEU,0.7016165256500244
2064,2064,New iPad Apps for Speech Therapy and Communication Are Showcased at the #SXSW Conference {link} cc @mention @mention #sxswi,,No emotion toward brand or product,New iPad Apps for Speech Therapy and Communication Are Showcased at the Conference {link} cc,NEU,1,NEU,0.7232301831245422
2065,2065,First 19 Apps To Download For Your #iPad 2 {link} #SXSW #in via @mention @mention,,No emotion toward brand or product,First 19 Apps To Download For Your 2 {link} via,NEU,1,NEU,0.9461028575897217
2066,2066,#SXSW is Apptastic! {link} #android #apps #developers #ios #iphone #smartphones,,No emotion toward brand or product,is Apptastic! {link},NEU,1,POS,0.9863052368164062
2067,2067,"#SXSW ##tapworthy Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW.
{link}",,No emotion toward brand or product,"Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW. {link}",NEU,1,NEU,0.8626827597618103
2069,2069,"Seen so far at #SxSW: pop-up Apple Store, pillow fight, mechanical bull, girls wearing jetpacks.",,No emotion toward brand or product,"Seen so far at pop-up Apple Store, pillow fight, mechanical bull, girls wearing jetpacks.",NEU,1,NEU,0.7450034618377686
2070,2070,150 mm usar of Google maps ate mobile. #sxsw,,No emotion toward brand or product,150 mm usar of Google maps ate mobile.,NEU,1,NEU,0.6931425929069519
2071,2071,"Not to fear, #SXSW attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via @mention",iPad,Positive emotion,"Not to fear, attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via",POS,2,POS,0.7832635045051575
2072,2072,#bettersearch #sxsw Does Google weight Hotpot reviews heavier than other review sites when collecting data for local search results?,,No emotion toward brand or product,Does Google weight Hotpot reviews heavier than other review sites when collecting data for local search results?,NEU,1,NEU,0.9585041403770447
2073,2073,"#bettersearch #sxsw Google Hotpot--looks like a streamlined Yelp. Not as in-depth, though. Wondering if there is any game theory built in.",,No emotion toward brand or product,"Google Hotpot--looks like a streamlined Yelp. Not as in-depth, though. Wondering if there is any game theory built in.",NEU,1,NEU,0.860747218132019
2074,2074,"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results #sxsw",Other Google product or service,Positive emotion,"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results",POS,2,NEG,0.5108200907707214
2075,2075,20% of searches on Google are local searches #SXSW,,No emotion toward brand or product,20% of searches on Google are local searches,NEU,1,NEU,0.8911883234977722
2076,2076,Another hard call this morning: Designing for the iPad or From reading to writing the genetic code. Going with the latter. #sxsw,,No emotion toward brand or product,Another hard call this morning: Designing for the iPad or From reading to writing the genetic code. Going with the latter.,NEU,1,NEU,0.8237159848213196
2077,2077,Police guard iPad 2's at Apple Store #sxsw #iPad {link},,No emotion toward brand or product,Police guard iPad 2's at Apple Store {link},NEU,1,NEU,0.8427445292472839
2078,2078,I just heard that iPads are sold out (except for a few) at Apple pop-up store #sxsw True?,,No emotion toward brand or product,I just heard that iPads are sold out (except for a few) at Apple pop-up store True?,NEU,1,NEU,0.7754102349281311
2079,2079,"Share, share and share some more. #Posterous Joins The #SXSW Pile On With Posterous Events For iPhone {link} #socmedia",,Positive emotion,"Share, share and share some more. Joins The Pile On With Posterous Events For iPhone {link}",POS,2,POS,0.8218101263046265
2080,2080,"Checkins are fun, but we need to extend beyond just being fun and make checkins useful #sxsw #google",,No emotion toward brand or product,"Checkins are fun, but we need to extend beyond just being fun and make checkins useful",NEU,1,POS,0.9413454532623291
2081,2081,Startups are talking to the captive audience here in the Apple store line. Very smart idea. Why aren't more doing it? #SXSW,,No emotion toward brand or product,Startups are talking to the captive audience here in the Apple store line. Very smart idea. Why aren't more doing it?,NEU,1,POS,0.9240925312042236
2082,2082,@mention are you around #sxsw? Need a US sim for my iphone 3GS for the next 10. Wanna bring one in? #please,,No emotion toward brand or product,are you around Need a US sim for my iphone 3GS for the next 10. Wanna bring one in?,NEU,1,NEU,0.6612828969955444
2083,2083,"@mention Are you at #sxsw ?  || No, just watching from afar.  Couldn't help noticing buzz generated by  a shirt + arduino + android !",,No emotion toward brand or product,"Are you at ? || No, just watching from afar. Couldn't help noticing buzz generated by a shirt + arduino + android !",NEU,1,POS,0.5706844329833984
2084,2084,@mention are you in Texas? HOW IS IT?  #Apple #SXSW,,No emotion toward brand or product,are you in Texas? HOW IS IT?,NEU,1,NEU,0.9823415875434875
2085,2085,@mention are you really coming to the Team Android Party? #sxsw,,No emotion toward brand or product,are you really coming to the Team Android Party?,NEU,1,NEU,0.6343763470649719
2086,2086,Tried Square?? It's a credit card reader for iPhone and Android. Amazingly simple. #SXSW impressed. {link},iPad or iPhone App,Positive emotion,Tried Square?? It's a credit card reader for iPhone and Android. Amazingly simple. impressed. {link},POS,2,POS,0.9718009233474731
2087,2087,@mention arg. It won't load on me iPhone. Not via the app store or the site. Just trying to #sxsw it and am feelin so out of touch.,iPhone,Negative emotion,arg. It won't load on me iPhone. Not via the app store or the site. Just trying to it and am feelin so out of touch.,NEG,0,NEG,0.966874361038208
2088,2088,"had to charge the #iphone every 6hours here on #sxsw. running it on lowest possible screen brightness. apple, fix your basics!",iPhone,Negative emotion,"had to charge the every 6hours here on running it on lowest possible screen brightness. apple, fix your basics!",NEG,0,NEG,0.9740669131278992
2089,2089,iPhone charging at #SXSW  {link},,No emotion toward brand or product,iPhone charging at {link},NEU,1,NEU,0.7819926738739014
2090,2090,iPhone charging party in the hallway. UX and IA professionals unite! #sxsw,iPhone,Positive emotion,iPhone charging party in the hallway. UX and IA professionals unite!,POS,2,POS,0.9880863428115845
2091,2091,We are gearing up for the #SXSW interactive trade show! We are across from Google:  {link},,No emotion toward brand or product,We are gearing up for the interactive trade show! We are across from Google: {link},NEU,1,POS,0.829963743686676
2092,2092,iPhone sharing???? #sxsw #shareable,,No emotion toward brand or product,iPhone sharing????,NEU,1,NEU,0.8130496740341187
2093,2093,Arrived early to get prime seats for presentation by Google's Marissa Mayer #SXSW -KEK,,No emotion toward brand or product,Arrived early to get prime seats for presentation by Google's Marissa Mayer -KEK,NEU,1,POS,0.569902241230011
2094,2094,The line around the Austin Apple pop-up store? Unbelievable. #SXSW #technology #junkies,,No emotion toward brand or product,The line around the Austin Apple pop-up store? Unbelievable.,NEU,1,POS,0.978623628616333
2096,2096,"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google. #sxsw",Google,Positive emotion,"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google.",POS,2,POS,0.5199461579322815
2097,2097,I go to bars and get free drinks because I have an iPhone. #doesdroid #SXSW,iPhone,Positive emotion,I go to bars and get free drinks because I have an iPhone.,POS,2,POS,0.9245675802230835
2098,2098,"Thanks, Marshall Jones for the heads-up! Apple to open temporary store for #SXSW at 6th and Congress... {link}",,No emotion toward brand or product,"Thanks, Marshall Jones for the heads-up! Apple to open temporary store for at 6th and Congress... {link}",NEU,1,POS,0.928945779800415
2099,2099,Such a smart idea RT @mention w00t! @mention wrote about our #hollergram iPad app for #sxsw!  {link},iPad or iPhone App,Positive emotion,Such a smart idea RT w00t! wrote about our iPad app for {link},POS,2,POS,0.986649215221405
2100,2100,Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art. #SxSW,Google,Positive emotion,Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art.,POS,2,POS,0.5470690727233887
2101,2101,Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,Other Google product or service,Positive emotion,Google's art project would be a great virtual field trip for kids! Museums around the world!,POS,2,POS,0.9898582100868225
2102,2102,Good CNN article on why #SXSW is important to social web innovators. {link} This is why I'm bringing Griddler iPad app there.,iPad or iPhone App,Positive emotion,Good CNN article on why is important to social web innovators. {link} This is why I'm bringing Griddler iPad app there.,POS,2,POS,0.9385706186294556
2103,2103,Android party ... #SxSW (@mention Lustre Pearl Bar w/ 63 others) {link},,No emotion toward brand or product,Android party ... (@mention Lustre Pearl Bar w/ 63 others) {link},NEU,1,NEU,0.6485327482223511
2104,2104,Android party #sxsw (@mention Lustre Pearl Bar w/ 19 others) {link},,No emotion toward brand or product,Android party (@mention Lustre Pearl Bar w/ 19 others) {link},NEU,1,NEU,0.7981751561164856
2105,2105,Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link},Android,Positive emotion,Android party (@mention Lustre Pearl Bar w/ 36 others) {link},POS,2,NEU,0.8351203203201294
2106,2106,"Day 3 - Party hangover, time confused, stumbling into &quot;iPad Interfaces &amp; New Navigation Structures.&quot; Bliss. #SXSW #fb",,No emotion toward brand or product,"Day 3 - Party hangover, time confused, stumbling into &quot;iPad Interfaces &amp; New Navigation Structures.&quot; Bliss.",NEU,1,POS,0.7729259133338928
2107,2107,"Chimpit party, plutopia, google, maybe a movie. #sxsw starts today for me :)",,No emotion toward brand or product,"Chimpit party, plutopia, google, maybe a movie. starts today for me :)",NEU,1,POS,0.9022882580757141
2108,2108,I'm lazy as F. Is there a feed for listening to #SXSW bands on iPhone? I'm woefully unprepared for music @mention spreadsheet notwithstanding,,No emotion toward brand or product,I'm lazy as F. Is there a feed for listening to bands on iPhone? I'm woefully unprepared for music spreadsheet notwithstanding,NEU,1,NEG,0.9662237763404846
2109,2109,&quot;ideas not objects&quot; Robert burner hired Ives at apple. #sxsw,,No emotion toward brand or product,&quot;ideas not objects&quot; Robert burner hired Ives at apple.,NEU,1,NEU,0.978184700012207
2110,2110,OH at Texas Social Media Awards: 'You don't need to ask your mother anymore. Just Google it.' #sxswi #sxsw,,No emotion toward brand or product,OH at Texas Social Media Awards: 'You don't need to ask your mother anymore. Just Google it.',NEU,1,NEU,0.9785592555999756
2111,2111,#sxsw Kawasaki says key to enchantment is likability of @mention trustworthiness of @mention &amp; product of @mention,,No emotion toward brand or product,Kawasaki says key to enchantment is likability of trustworthiness of &amp; product of,NEU,1,POS,0.5406960248947144
2112,2112,Apple = case study of great #mktg. At #SXSW they just showed everyone up again with buzz about the &quot;pop-up store&quot;: {link},Apple,Positive emotion,Apple = case study of great At they just showed everyone up again with buzz about the &quot;pop-up store&quot;: {link},POS,2,POS,0.9276635050773621
2113,2113,RT SteveCase: Google to Launch Major New Social Network Called Circles {link} #sxsw,,No emotion toward brand or product,RT SteveCase: Google to Launch Major New Social Network Called Circles {link},NEU,1,NEU,0.7922564744949341
2114,2114,Google quash Circles rumours RT @mention We're not launching any products at #SXSW but we're doing plenty else {link},,No emotion toward brand or product,Google quash Circles rumours RT We're not launching any products at but we're doing plenty else {link},NEU,1,NEU,0.9411416053771973
2115,2115,Is the Flash discussion still relevant? #SXSW #tapworthy iPad design headaches,,Negative emotion,Is the Flash discussion still relevant? iPad design headaches,NEG,0,NEG,0.931298017501831
2117,2117,"Got my flask &amp; my iPad . Yes,  I'm sitting on 9th st waiting for AICN screening. #sxsw #prepared # ILoveaSurprise {link}",iPad,Positive emotion,"Got my flask &amp; my iPad . Yes, I'm sitting on 9th st waiting for AICN screening. ILoveaSurprise {link}",POS,2,POS,0.9899696707725525
2118,2118,"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",Other Google product or service,Negative emotion,"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley",NEG,0,NEU,0.5894104242324829
2119,2119,"Like you asserted, corporate is the new indie. RT @mention Well damn, Apple setting up a &quot;pop-up&quot; shop at #SXSW {link}",,No emotion toward brand or product,"Like you asserted, corporate is the new indie. RT Well damn, Apple setting up a &quot;pop-up&quot; shop at {link}",NEU,1,NEU,0.8228248357772827
2120,2120,Can't be at  #SXSW ? well this is a nice (free) booby prize... Featured Artists - {link} #iTunes #free via  @mention,,No emotion toward brand or product,Can't be at ? well this is a nice (free) booby prize... Featured Artists - {link} via,NEU,1,POS,0.9205725789070129
2121,2121,@mention at #cnngrill #sxsw rockin the #iphone couldn't be cooler {link},iPhone,Positive emotion,at rockin the couldn't be cooler {link},POS,2,POS,0.9801334142684937
2122,2122,@mention at #SXSW also known as hershel by my iPhone autocorrect. {link},,No emotion toward brand or product,at also known as hershel by my iPhone autocorrect. {link},NEU,1,NEU,0.8996256589889526
2123,2123,"NYT, WSJ at #SXSW ask: Is there a future for branded, native news apps on the iPad? {link} / no there is NOT!!",iPad or iPhone App,Negative emotion,"NYT, WSJ at ask: Is there a future for branded, native news apps on the iPad? {link} / no there is NOT!!",NEG,0,NEU,0.8333345651626587
2124,2124,"@mention at #SXSW, 9 out of 10 attendees have MAC or iPad.",iPad,Positive emotion,at 9 out of 10 attendees have MAC or iPad.,POS,2,NEU,0.5197881460189819
2125,2125,"Startups at #SXSW, @mention is giving away free hosting. Fill out this and @mention me for a chance to win. {link}",,No emotion toward brand or product,Startups at is giving away free hosting. Fill out this and me for a chance to win. {link},NEU,1,POS,0.6870861053466797
2126,2126,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via @mention,Apple,Positive emotion,at &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via,POS,2,NEU,0.5350407958030701
2127,2127,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via @mention,Apple,Positive emotion,at &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via,POS,2,NEU,0.5329850912094116
2128,2128,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,Positive emotion,at &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,POS,2,NEU,0.5046295523643494
2129,2129,@mention at #sxsw: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link},Google,Positive emotion,at Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link},POS,2,POS,0.6773273348808289
2130,2130,"Verbs OH at #SXSW: bump, google, facebook, ping, hashable, fuck, meet, hire...(me) any more?",,No emotion toward brand or product,"Verbs OH at bump, google, facebook, ping, hashable, fuck, meet, hire...(me) any more?",NEU,1,NEG,0.9675301313400269
2131,2131,@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone,Android App,Positive emotion,at Be the first to send us a pic of and get a free download of our game!,POS,2,POS,0.6456971168518066
2132,2132,Can't be at #sxsw? download their free music mix on itunes {link},,No emotion toward brand or product,Can't be at download their free music mix on itunes {link},NEU,1,NEU,0.8945232033729553
2133,2133,The line at 6th &amp; Congress to enter the new Apple store wraps around 2 blocks  #SXSW,,No emotion toward brand or product,The line at 6th &amp; Congress to enter the new Apple store wraps around 2 blocks,NEU,1,NEU,0.830413818359375
2134,2134,I just shat a tear. RT @mention Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,Positive emotion,I just shat a tear. RT Good news for Austin-bound Apple fanboys: {link},POS,2,POS,0.9762767553329468
2135,2135,I hear that Apple is opening a pop-up store downtown in the Scarborough building for SXSW and the iPad2. Cool. #SXSW #newapplestoreaustin,Apple,Positive emotion,I hear that Apple is opening a pop-up store downtown in the Scarborough building for SXSW and the iPad2. Cool.,POS,2,POS,0.8955511450767517
2136,2136,I love that Apple was smart enough to have a popup #SXSW store. Story (+ map!) {link} tip @mention,Apple,Positive emotion,I love that Apple was smart enough to have a popup store. Story (+ map!) {link} tip,POS,2,POS,0.9766711592674255
2137,2137,"No, up that count to 48 as I pass charging station. #fools #sxsw @mention",,No emotion toward brand or product,"No, up that count to 48 as I pass charging station.",NEU,1,NEU,0.9616274237632751
2138,2138,Arriving at Google party at #SXSW. Small queue. 1986 here we come. Wittingly some of our group weren't born then. {link},,No emotion toward brand or product,Arriving at Google party at Small queue. 1986 here we come. Wittingly some of our group weren't born then. {link},NEU,1,NEU,0.8145005702972412
2139,2139,80s band at google/ACLU 1986 party rocks  #SXSW  {link},Google,Positive emotion,80s band at google/ACLU 1986 party rocks {link},POS,2,POS,0.7471261024475098
2140,2140,"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming",iPad,Positive emotion,"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at",POS,2,POS,0.8360379934310913
2141,2141,A free heat map app of 4sq check-ins at #SXSW see @mention Hot Spots @mention SXSW. Now on WP7 &amp; iPhone #wedig,,No emotion toward brand or product,A free heat map app of 4sq check-ins at see Hot Spots SXSW. Now on WP7 &amp; iPhone,NEU,1,NEU,0.6908319592475891
2142,2142,Google heat map for global searches. #SXSW #Hotpot {link},,No emotion toward brand or product,Google heat map for global searches. {link},NEU,1,NEU,0.8581153750419617
2143,2143,"Oh, is that my excuse:? RT @mention RT @mention at #sxsw: &quot;apple comes up with cool technology ... because they don't go to conferences&quot;",Apple,Positive emotion,"Oh, is that my excuse:? RT RT at &quot;apple comes up with cool technology ... because they don't go to conferences&quot;",POS,2,POS,0.9354565143585205
2145,2145,Wonder what percentage of #SXSW interactive participants have an iPhone. It's gotta be high,iPhone,Positive emotion,Wonder what percentage of interactive participants have an iPhone. It's gotta be high,POS,2,NEU,0.7553998827934265
2146,2146,Hungover At SXSW? Use Zaarly To Get Your Gatorade And Advil {link} #BillLee #HTML #iPhone #SXSW,,No emotion toward brand or product,Hungover At SXSW? Use Zaarly To Get Your Gatorade And Advil {link},NEU,1,NEU,0.8160227537155151
2147,2147,@mention at Team Android party. @mention @mention just walked in. DL Appolicious app &amp; enter to win free Nexus S! #androidsxsw #sxsw,Android,Positive emotion,at Team Android party. just walked in. DL Appolicious app &amp; enter to win free Nexus S!,POS,2,POS,0.8204777240753174
2148,2148,Geek out at the #sxsw interactive panels with this iPad Holler Gram app. Use your iPad to display messages to others. {link},iPad,Positive emotion,Geek out at the interactive panels with this iPad Holler Gram app. Use your iPad to display messages to others. {link},POS,2,POS,0.7372624278068542
2149,2149,"The line at the #sxsw Apple Popup Store was shorter than the line at the Starbucks across the street. So, I really had no choiceÛ_",,No emotion toward brand or product,"The line at the Apple Popup Store was shorter than the line at the Starbucks across the street. So, I really had no choiceÛ_",NEU,1,NEU,0.6574212312698364
2150,2150,The line at the #sxsw pop-up Apple store is already around the block.  5 hrs b4 ipad2 goes on sale. {link},,No emotion toward brand or product,The line at the pop-up Apple store is already around the block. 5 hrs b4 ipad2 goes on sale. {link},NEU,1,NEU,0.9280807375907898
2151,2151,"The line at the apple store goes around the block. Oh, that's right, iPad 2! Also, #sxsw.",iPad,Positive emotion,"The line at the apple store goes around the block. Oh, that's right, iPad 2! Also,",POS,2,POS,0.5666042566299438
2152,2152,The band at the Google party is the most entertaining band I have ever seen #sxsw,,Positive emotion,The band at the Google party is the most entertaining band I have ever seen,POS,2,POS,0.9897053837776184
2153,2153,"Blackout at the hotel. In true #SXSW form, showering by the light of my iPad.",,No emotion toward brand or product,"Blackout at the hotel. In true form, showering by the light of my iPad.",NEU,1,NEU,0.7385720014572144
2154,2154,The line at the popup Apple Store is phenomenal. #sxsw #apple #ipad2  {link},Apple,Positive emotion,The line at the popup Apple Store is phenomenal. {link},POS,2,POS,0.9019095301628113
2155,2155,"Standing at the top of the steps (right side coming out onto patio). Come and say, &quot;What's up, Android?&quot; #TeamAndroid #sxsw",,No emotion toward brand or product,"Standing at the top of the steps (right side coming out onto patio). Come and say, &quot;What's up, Android?&quot;",NEU,1,NEU,0.650783360004425
2156,2156,Wonder what they'll have up their sleeves RT @mention #Google Launch New #Social #Network Called #Circles {link} #sxsw,,No emotion toward brand or product,Wonder what they'll have up their sleeves RT Launch New Called {link},NEU,1,NEU,0.9632879495620728
2157,2157,"VentureBeat: RT @mention On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention  {link}",Apple,Positive emotion,"VentureBeat: RT On its second day in business, the Apple pop-up store appears to be trending. (@mention {link}",POS,2,NEU,0.5928865075111389
2158,2158,thats great! RT @mention Official #SXSW IPhone/iPad/iOS meetup is almost all employers looking for developers. {link},,No emotion toward brand or product,thats great! RT Official IPhone/iPad/iOS meetup is almost all employers looking for developers. {link},NEU,1,POS,0.9416924118995667
2159,2159,÷¼ WHO? WHAT? WHERE? WHEN? WHY? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,÷¼ WHO? WHAT? WHERE? WHEN? WHY? ÷_ {link} ã_,NEU,1,NEU,0.9507316946983337
2160,2160,bout to watch the @mention live at #SXSW Apple Store for iPad 2 w/ @mention and @mention Living vicariously through all those that buy one.,iPad,Positive emotion,bout to watch the live at Apple Store for iPad 2 w/ and Living vicariously through all those that buy one.,POS,2,POS,0.938020646572113
2161,2161,Another late start at #sxsw #sxswi damn you google and your rocking 80's party,Google,Positive emotion,Another late start at damn you google and your rocking 80's party,POS,2,NEG,0.9505401253700256
2162,2162,The Spasmatics are rockin' it at the ACLU / Google party. #sxsw,Google,Positive emotion,The Spasmatics are rockin' it at the ACLU / Google party.,POS,2,POS,0.955070972442627
2163,2163,Why has latin America not produced the next @mention or @mention ? #Latism #latam #sxsw,,No emotion toward brand or product,Why has latin America not produced the next or ?,NEU,1,NEG,0.5018488168716431
2164,2164,"Great location choice, and nice timing for iPad2 launch: #Apple, #HP 'popping' in for #SXSW {link}",iPad,Positive emotion,"Great location choice, and nice timing for iPad2 launch: 'popping' in for {link}",POS,2,POS,0.989072322845459
2165,2165,Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,Positive emotion,Congratulation! RT Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all!,POS,2,POS,0.9904369711875916
2166,2166,@mention atleast you are at #sxsw. I'm not there AND I have no Ipad. #doubleloser,,No emotion toward brand or product,atleast you are at I'm not there AND I have no Ipad.,NEU,1,NEG,0.5319391489028931
2168,2168,No way!'Matt fricking Damon at Google party at Maggie mae's. #Sxsw @mention {link},,No emotion toward brand or product,No way!'Matt fricking Damon at Google party at Maggie mae's. {link},NEU,1,NEU,0.7275260090827942
2169,2169,#iPhone battery doesn't last long under #sxsw usage,iPhone,Negative emotion,battery doesn't last long under usage,NEG,0,NEG,0.668002724647522
2170,2170,"We're creatures of habit. Google found that CTRs for blue links far outpaced green. The darker the link, the more clicks it got. #sxsw",,No emotion toward brand or product,"We're creatures of habit. Google found that CTRs for blue links far outpaced green. The darker the link, the more clicks it got.",NEU,1,NEU,0.6659815907478333
